form	lemma	pos	morphology
ἠρώτησεν	ἐρωτάω	V-	3saia----i
λαλῶν	λαλέω	V-	-sppamn--i
ἐπερωτῶ	ἐπερωτάω	V-	1spia----i
Εἶπεν	λέγω	V-	3saia----i
ἐρωτῶν	ἐρωτάω	V-	-sppamn--i
ἠρώτων	ἐρωτάω	V-	3piia----i
Ἠρώτα	ἐρωτάω	V-	3siia----i
εἰπέ	λέγω	V-	2sama----i
ἐφώνει	φωνέω	V-	3siia----i
Ἐπηρώτων	ἐπερωτάω	V-	3piia----i
ἀπηγγέλη	ἀπαγγέλλω	V-	3saip----i
λέγεσθαι	λέγω	V-	--pnp----i
ἐρωτῆσαι	ἐρωτάω	V-	--ana----i
εἶπέν	λέγω	V-	3saia----i
δίδαξον	διδάσκω	V-	2sama----i
ἐδίδαξεν	διδάσκω	V-	3saia----i
αἰτεῖτε	αἰτέω	V-	2ppma----i
ἐρωτᾷ	ἐρωτάω	V-	3spia----i
ἐλαλήσατε	λαλέω	V-	2paia----i
Λέγω	λέγω	V-	1spia----i
ὁμολογήσῃ	ὁμολογέω	V-	3sasa----i
διδάξει	διδάσκω	V-	3sfia----i
αἰτήσουσιν	αἰτέω	V-	3pfia----i
ἀπαγγέλλοντες	ἀπαγγέλλω	V-	-pppamn--i
ἐδίδαξας	διδάσκω	V-	2saia----i
φώνει	φωνέω	V-	2spma----i
ἐρωτῶ	ἐρωτάω	V-	1spia----i
φωνήσας	φωνέω	V-	-sapamn--i
γράψον	γράφω	V-	2sama----i
παρακαλεῖται	παρακαλέω	V-	3spip----i
διαμαρτύρηται	διαμαρτύρομαι	V-	3spsm----i
ἐλέγετε	λέγω	V-	2piia----i
Ἐπερωτηθεὶς	ἐπερωτάω	V-	-sappmn--i
ἐροῦσιν	λέγω	V-	3pfia----i
ἐπηρώτησέν	ἐπερωτάω	V-	3saia----i
γεγραμμένα	γράφω	V-	-prppnn--i
λεγόμενα	λέγω	V-	-ppppna--i
φωνηθῆναι	φωνέω	V-	--anp----i
κράξουσιν	κράζω	V-	3pfia----i
διδάσκοντος	διδάσκω	V-	-sppamg--i
εἴπατέ	λέγω	V-	2pama----i
ἐπερωτᾶν	ἐπερωτάω	V-	--pna----i
λεγομένη	λέγω	V-	-spppfn--i
εἰρήκει	λέγω	V-	3slia----i
φωνήσει	φωνέω	V-	3sfia----i
αἰτούμενοι	αἰτέω	V-	-pppmmn--i
ᾐτοῦντο	αἰτέω	V-	3piim----i
ἐλάλησαν	λαλέω	V-	3paia----i
λαλούντων	λαλέω	V-	-pppamg--i
ἐλάλησα	λαλέω	V-	1saia----i
μαρτυρήσῃ	μαρτυρέω	V-	3sasa----i
μαρτυρεῖ	μαρτυρέω	V-	3spia----i
κέκραγεν	κράζω	V-	3sria----i
ἐρωτήσωσιν	ἐρωτάω	V-	3pasa----i
ἐμαρτύρησεν	μαρτυρέω	V-	3saia----i
μεμαρτύρηκα	μαρτυρέω	V-	1sria----i
εἶπόν	λέγω	V-	1saia----i
λέγῃ	λέγω	V-	3spsa----i
λαλοῦμεν	λαλέω	V-	1ppia----i
μαρτυροῦμεν	μαρτυρέω	V-	1ppia----i
μεμαρτύρηκας	μαρτυρέω	V-	2sria----i
αἰτεῖς	αἰτέω	V-	2spia----i
ᾔτησας	αἰτέω	V-	2saia----i
φώνησον	φωνέω	V-	2sama----i
εἴρηκας	λέγω	V-	2sria----i
ἀναγγελεῖ	ἀναγγέλλω	V-	3sfia----i
μαρτυρούσης	μαρτυρέω	V-	-sppafg--i
μαρτυρῶ	μαρτυρέω	V-	1spsa----i
μαρτυρῶν	μαρτυρέω	V-	-sppamn--i
μεμαρτύρηκεν	μαρτυρέω	V-	3sria----i
μαρτυροῦσαι	μαρτυρέω	V-	-pppafn--i
λελάληκα	λαλέω	V-	1sria----i
εἴρηκα	λέγω	V-	1sria----i
Ἔλεγον	λέγω	V-	3piia----i
ἔγραφεν	γράφω	V-	3siia----i
ἐρωτῶντες	ἐρωτάω	V-	-pppamn--i
εἶπε	λέγω	V-	3saia----i
μαρτυρεῖς	μαρτυρέω	V-	2spia----i
ἐδίδαξέν	διδάσκω	V-	3saia----i
λαλῇ	λαλέω	V-	3spsa----i
λέγομεν	λέγω	V-	1ppia----i
ἐφώνησαν	φωνέω	V-	3paia----i
ἐρωτήσατε	ἐρωτάω	V-	2pama----i
λαλήσει	λαλέω	V-	3sfia----i
ἐπερωτήσατε	ἐπερωτάω	V-	2pama----i
Ἐφώνησαν	φωνέω	V-	3paia----i
λελάληκεν	λαλέω	V-	3sria----i
αἰτήσῃ	αἰτέω	V-	2sasm----i
εἰποῦσα	λέγω	V-	-sapafn--i
ἔλεγαν	λέγω	V-	3piia----i
ἐμαρτύρει	μαρτυρέω	V-	3siia----i
ὡμολόγουν	ὁμολογέω	V-	3piia----i
λαλήσω	λαλέω	V-	1sasa----i
εἴρηκέν	λέγω	V-	3sria----i
φωνεῖτέ	φωνέω	V-	2ppia----i
Λέγει	λέγω	V-	3spia----i
φωνήσῃ	φωνέω	V-	3sasa----i
αἰτήσητέ	αἰτέω	V-	2pasa----i
αἰτήσασθε	αἰτέω	V-	2pamm----i
γεγραμμένος	γράφω	V-	-srppmn--i
μαρτυρήσει	μαρτυρέω	V-	3sfia----i
Εἶπον	λέγω	V-	3paia----i
ἐρωτᾶν	ἐρωτάω	V-	--pna----i
ἐρωτήσετε	ἐρωτάω	V-	2pfia----i
ᾐτήσατε	αἰτέω	V-	2paia----i
ἀπαγγελῶ	ἀπαγγέλλω	V-	1sfia----i
αἰτήσεσθε	αἰτέω	V-	2pfim----i
Λέγουσιν	λέγω	V-	3ppia----i
ἐδίδαξα	διδάσκω	V-	1saia----i
ἐρώτησον	ἐρωτάω	V-	2sama----i
μαρτύρησον	μαρτυρέω	V-	2sama----i
μαρτυρήσω	μαρτυρέω	V-	1sasa----i
γράφε	γράφω	V-	2spma----i
γέγραφα	γράφω	V-	1sria----i
γράψας	γράφω	V-	-sapamn--i
διεμαρτύρατο	διαμαρτύρομαι	V-	3saim----i
αἰτεῖν	αἰτέω	V-	--pna----i
ᾐτήσασθε	αἰτέω	V-	2paim----i
λαλήσῃ	λαλέω	V-	3sasa----i
Λαλούντων	λαλέω	V-	-pppamg--i
ἐδίδασκον	διδάσκω	V-	3piia----i
μαρτυρουμένους	μαρτυρέω	V-	-ppppma--i
λεγομένων	λέγω	V-	-ppppmg--i
εἰπόντες	λέγω	V-	-papamn--i
εἴπας	λέγω	V-	-sapamn--i
κράξαντες	κράζω	V-	-papamn--i
λεγομένοις	λέγω	V-	-ppppnd--i
εἰρήκατε	λέγω	V-	2pria----i
διαμαρτυράμενοι	διαμαρτύρομαι	V-	-papmmn--i
λαλήσαντες	λαλέω	V-	-papamn--i
παρεκάλεσέν	παρακαλέω	V-	3saia----i
φησιν	φημί	V-	3spia----i
λέγουσαν	λέγω	V-	-sppafa--i
λαληθήσεταί	λαλέω	V-	3sfip----i
παρακαλοῦντες	παρακαλέω	V-	-pppamn--i
εἰπόντα	λέγω	V-	-sapama--i
φωνήσαντες	φωνέω	V-	-papamn--i
μαρτυρούμενός	μαρτυρέω	V-	-spppmn--i
ἐκήρυξεν	κηρύσσω	V-	3saia----i
διαμαρτύρασθαι	διαμαρτύρομαι	V-	--anm----i
μαρτυροῦσιν	μαρτυρέω	V-	3ppia----i
λεγούσης	λέγω	V-	-sppafg--i
διδάξαι	διδάσκω	V-	--ana----i
ᾐτήσαντο	αἰτέω	V-	3paim----i
μαρτυρήσας	μαρτυρέω	V-	-sapamn--i
εἴρηκεν	λέγω	V-	3sria----i
λαληθῆναι	λαλέω	V-	--anp----i
μαρτυροῦντι	μαρτυρέω	V-	-sppamd--i
ἀνήγγελλον	ἀναγγέλλω	V-	3piia----i
ἀνήγγειλάν	ἀναγγέλλω	V-	3paia----i
κηρύσσοντας	κηρύσσω	V-	-pppama--i
γράψαντες	γράφω	V-	-papamn--i
ἀπαγγέλλοντας	ἀπαγγέλλω	V-	-pppama--i
ἐμαρτυρεῖτο	μαρτυρέω	V-	3siip----i
ἐλαλοῦμεν	λαλέω	V-	1piia----i
παρεκάλεσεν	παρακαλέω	V-	3saia----i
λαλουμένη	λαλέω	V-	-spppfn--i
εἰρήκασιν	λέγω	V-	3pria----i
ἀπαγγέλλει	ἀπαγγέλλω	V-	3spia----i
διαμαρτυρόμενος	διαμαρτύρομαι	V-	-sppmmn--i
λάλει	λαλέω	V-	2spma----i
ἐρωτώντων	ἐρωτάω	V-	-pppamg--i
ἔγραψαν	γράφω	V-	3paia----i
κηρύσσει	κηρύσσω	V-	3spia----i
ἀναγγέλλοντες	ἀναγγέλλω	V-	-pppamn--i
παρακαλέσας	παρακαλέω	V-	-sapamn--i
παρεκλήθησαν	παρακαλέω	V-	3paip----i
ἀναγγεῖλαι	ἀναγγέλλω	V-	--ana----i
διαμαρτύρεταί	διαμαρτύρομαι	V-	3spim----i
λέγον	λέγω	V-	-sppann--i
παρεκαλοῦμεν	παρακαλέω	V-	1piia----i
εἶπάν	λέγω	V-	3paia----i
λαλοῦντός	λαλέω	V-	-sppamg--i
μαρτυρούμενος	μαρτυρέω	V-	-spppmn--i
λέγοντά	λέγω	V-	-sppama--i
λέγε	λέγω	V-	2spma----i
λαλήσαντος	λαλέω	V-	-sapamg--i
ὁμολογοῦσιν	ὁμολογέω	V-	3ppia----i
διεμαρτύρω	διαμαρτύρομαι	V-	2saim----i
μαρτυρῆσαι	μαρτυρέω	V-	--ana----i
λαλῆσαί	λαλέω	V-	--ana----i
ἀπαγγεῖλαί	ἀπαγγέλλω	V-	--ana----i
ἐρωτῆσαί	ἐρωτάω	V-	--ana----i
ἐπερωτήσας	ἐπερωτάω	V-	-sapamn--i
παρακαλῶ	παρακαλέω	V-	1spia----i
ὁμολογῶ	ὁμολογέω	V-	1spia----i
γεγραμμένοις	γράφω	V-	-prppnd--i
εἰπάτωσαν	λέγω	V-	3pama----i
γράψω	γράφω	V-	1sasa----i
μαρτυρεῖν	μαρτυρέω	V-	--pna----i
ἀπήγγελλον	ἀπαγγέλλω	V-	1siia----i
εὐξαίμην	εὔχομαι	V-	1saom----i
λελάληταί	λαλέω	V-	3srip----i
εὔχοντο	εὔχομαι	V-	3piim----i
παρεκλήθημεν	παρακαλέω	V-	1paip----i
παρεκάλεσα	παρακαλέω	V-	1saia----i
ἐλάλησέν	λαλέω	V-	3saia----i
εἰπόν	λέγω	V-	2sama----i
ἐροῦμεν	λέγω	V-	1pfia----i
φασίν	φημί	V-	3ppia----i
μαρτυρουμένη	μαρτυρέω	V-	-spppfn--i
ἐγράφη	γράφω	V-	3saip----i
κράζομεν	κράζω	V-	1ppia----i
ηὐχόμην	εὔχομαι	V-	1siim----i
Ἐρεῖς	λέγω	V-	2sfia----i
γράφει	γράφω	V-	3spia----i
κηρύσσομεν	κηρύσσω	V-	1ppia----i
ὁμολογήσῃς	ὁμολογέω	V-	2sasa----i
ὁμολογεῖται	ὁμολογέω	V-	3spip----i
κηρύσσοντος	κηρύσσω	V-	-sppamg--i
κηρύξωσιν	κηρύσσω	V-	3pasa----i
Παρακαλῶ	παρακαλέω	V-	1spia----i
ἔγραψα	γράφω	V-	1saia----i
ἀνηγγέλη	ἀναγγέλλω	V-	3saip----i
λέγητε	λέγω	V-	2ppsa----i
γεγραπται	γράφω	V-	3srip----i
παρακαλοῦμεν	παρακαλέω	V-	1ppia----i
γράφω	γράφω	V-	1spia----i
διδάσκω	διδάσκω	V-	1spia----i
Ἔγραψα	γράφω	V-	1saia----i
ἐγράψατε	γράφω	V-	2paia----i
φημι	φημί	V-	1spia----i
λεγόμενοι	λέγω	V-	-ppppmn--i
κηρύξας	κηρύσσω	V-	-sapamn--i
φημί	φημί	V-	1spia----i
διδάσκει	διδάσκω	V-	3spia----i
λαλοῦσιν	λαλέω	V-	3ppia----i
λαλοῦντι	λαλέω	V-	-sppamd--i
λαλῶσιν	λαλέω	V-	3ppsa----i
ἀπαγγέλλων	ἀπαγγέλλω	V-	-sppamn--i
λαλείτω	λαλέω	V-	3spma----i
λαλείτωσαν	λαλέω	V-	3ppma----i
παρακαλῶνται	παρακαλέω	V-	3ppsp----i
ἐπερωτάτωσαν	ἐπερωτάω	V-	3ppma----i
κηρύσσεται	κηρύσσω	V-	3spip----i
ἐμαρτυρήσαμεν	μαρτυρέω	V-	1paia----i
παρακαλούμεθα	παρακαλέω	V-	1ppip----i
γράφομεν	γράφω	V-	1ppia----i
κηρυχθείς	κηρύσσω	V-	-sappmn--i
παρακαλοῦντος	παρακαλέω	V-	-sppamg--i
παρεκλήθη	παρακαλέω	V-	3saip----i
ἀναγγέλλων	ἀναγγέλλω	V-	-sppamn--i
παρακεκλήμεθα	παρακαλέω	V-	1prip----i
ἐλαλήσαμεν	λαλέω	V-	1paia----i
γράφειν	γράφω	V-	--pna----i
λέγωμεν	λέγω	V-	1ppsa----i
ἐκηρύξαμεν	κηρύσσω	V-	1paia----i
εὐχόμεθα	εὔχομαι	V-	1ppim----i
παρακαλεῖσθε	παρακαλέω	V-	2ppmp----i
ἐδιδάχθην	διδάσκω	V-	1saip----i
κηρύσσω	κηρύσσω	V-	1spia----i
ἐρρέθησαν	λέγω	V-	3paip----i
κρᾶζον	κράζω	V-	-sppana--i
Λέγετέ	λέγω	V-	2ppma----i
λεγομένης	λέγω	V-	-spppfg--i
αἰτοῦμαι	αἰτέω	V-	1spim----i
αἰτούμεθα	αἰτέω	V-	1ppim----i
ἐδιδάχθητε	διδάσκω	V-	2paip----i
παρακαλέσῃ	παρακαλέω	V-	3sasa----i
κηρύσσουσιν	κηρύσσω	V-	3ppia----i
κηρυχθέντος	κηρύσσω	V-	-sappog--i
παρακληθῶσιν	παρακαλέω	V-	3pasp----i
ἀπαγγέλλουσιν	ἀπαγγέλλω	V-	3ppia----i
ἐρωτῶμεν	ἐρωτάω	V-	1ppia----i
διεμαρτυράμεθα	διαμαρτύρομαι	V-	1paim----i
παρακαλεῖτε	παρακαλέω	V-	2ppma----i
γράφεσθαι	γράφω	V-	--pnp----i
Ἐρωτῶμεν	ἐρωτάω	V-	1ppia----i
παρεκάλεσά	παρακαλέω	V-	1saia----i
ἐκηρύχθη	κηρύσσω	V-	3saip----i
δίδασκε	διδάσκω	V-	2spma----i
παρακάλει	παρακαλέω	V-	2spma----i
λαλοῦσαι	λαλέω	V-	-pppafn--i
Διαμαρτύρομαι	διαμαρτύρομαι	V-	1spim----i
ὡμολόγησας	ὁμολογέω	V-	2saia----i
μαρτυρήσαντος	μαρτυρέω	V-	-sapamg--i
κήρυξον	κηρύσσω	V-	2sama----i
παρακάλεσον	παρακαλέω	V-	2sama----i
ἔγραψά	γράφω	V-	1saia----i
λαλήσας	λαλέω	V-	-sapamn--i
λαληθεὶς	λαλέω	V-	-sappmn--i
λαλεῖσθαι	λαλέω	V-	--pnp----i
λαληθησομένων	λαλέω	V-	-pfppqg--i
μαρτυρεῖται	μαρτυρέω	V-	3spip----i
διδάξωσιν	διδάσκω	V-	3pasa----i
λαληθείσης	λαλέω	V-	-sappfg--i
εἰρηκέναι	λέγω	V-	--rna----i
ἐμαρτυρήθησαν	μαρτυρέω	V-	3paip----i
ἐμαρτυρήθη	μαρτυρέω	V-	3saip----i
μαρτυροῦντος	μαρτυρέω	V-	-sppamg--i
μεμαρτύρηται	μαρτυρέω	V-	3srip----i
ὁμολογήσαντες	ὁμολογέω	V-	-papamn--i
μαρτυρηθέντες	μαρτυρέω	V-	-pappmn--i
λαλοῦντα	λαλέω	V-	-sppama--i
αἰτείτω	αἰτέω	V-	3spma----i
λεγέτω	λέγω	V-	3spma----i
εὔχεσθε	εὔχομαι	V-	2ppmm----i
λαλούσης	λαλέω	V-	-sppafg--i
κηρύσσοντα	κηρύσσω	V-	-sppama--i
κράζουσιν	κράζω	V-	3ppia----i
γράψῃς	γράφω	V-	2sasa----i
λαλοῦσαν	λαλέω	V-	-sppafa--i
λέγουσίν	λέγω	V-	3ppia----i
γεγραμμένων	γράφω	V-	-prppmg--i
γεγραμμένοι	γράφω	V-	-prppmn--i
εἰπάτω	λέγω	V-	3sama----i
γεγραμμένας	γράφω	V-	-prppfa--i
